time,Gyro X,Gyro Y,Gyro Z,time,pressure,Pressure MSL,Pressure AGL,time,acceleration,time,lat. X accel.,lat. Y accel.,time,Mag X,Mag Y,Mag Z,time,eject. bat. voltage,time,comp. bat. voltage,time,launch detect,apogee detect,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time,A Voltage,time,B Voltage,time,C Voltage,time,D Voltage,time,temperature,time,GPS Time of Week
-100.028,-3.36,0.28,-0.14,-99.9397,93833,643.192,0.360229,-99.9297,1.01953,-99.9287,0.0351563,0.15625,-99.6187,-0.000704,-0.000926,0.00145,-99.6176,8.29302,-99.6136,4.14001,-99.6126,0,0,1,1,0,0,0,0,0,0,-99.5547,3.3,-99.5547,3.3,-99.5547,2.09,-99.5536,1.99,-99.0176,41.03,-99.0146,579345800
-99.0286,-2.94,0.14,-0.7,-97.9386,93832,643.279,0.447388,-98.9276,1.01953,-98.9246,0.0117188,0.144531,-89.6184,-0.000708,-0.000937,0.001445,-89.6144,8.29302,-89.6134,4.14001,-89.6134,0,0,1,1,0,0,0,0,0,0,-94.5624,3.3,-94.5594,3.3,-94.5594,2.08,-94.5594,1.99,-49.0134,41.4,-49.0124,579395600
-98.0246,-3.15,0.21,-0.7,-95.9386,93835,643.015,0.183167,-97.9276,1.03125,-97.9246,0.0117188,0.132813,-79.6169,-0.000706,-0.000911,0.001451,-79.6139,8.29302,-79.6129,4.13677,-79.6118,0,0,1,1,0,0,0,0,0,0,-89.5594,3.3,-89.5584,3.3,-89.5584,2.07,-89.5584,1.99,-0.0255127,41.71,-0.0245361,579444400
-97.0186,-3.36,0.35,-0.91,-93.9374,93834,643.102,0.270386,-96.9245,0.996094,-96.9245,0.0117188,0.144531,-69.6164,-0.000703,-0.000931,0.001446,-69.6134,8.28652,-69.6124,4.13677,-69.6114,0,0,1,1,0,0,0,0,0,0,-84.5591,3.3,-84.5591,3.3,-84.558,2.06,-84.558,2,4.95465,41.72,4.95868,579449400
-96.0236,-2.87,0.56,-1.05,-91.9384,93839,642.661,-0.170898,-95.9336,1.01953,-95.9326,0.0117188,0.121094,-59.6172,-0.000707,-0.000928,0.001447,-59.6162,8.28328,-59.6132,4.14001,-59.6132,0,0,1,1,0,0,0,0,0,0,-79.5588,3.3,-79.5588,3.3,-79.5578,2.06,-79.5578,2,9.94489,41.75,9.94684,579454400
-95.0295,-3.22,0.28,-0.84,-89.9394,93833,643.192,0.360229,-94.9335,0.984375,-94.9325,0.0234375,0.15625,-49.6132,-0.000709,-0.000917,0.001447,-49.6122,8.29626,-49.6112,4.13677,-49.6082,0,0,1,1,0,0,0,0,0,0,-74.5576,3.3,-74.5566,3.3,-74.5536,2.06,-74.5536,2,14.928,41.77,14.932,579459400
-94.0235,-3.01,0.35,-0.98,-87.9372,93834,643.102,0.270386,-93.9324,0.984375,-93.9324,0.0234375,0.0976563,-39.6134,-0.000713,-0.000905,0.001438,-39.6104,8.29626,-39.6094,4.13352,-39.6094,0,0,1,1,0,0,0,0,0,0,-69.5614,3.3,-69.5584,3.3,-69.5584,2.06,-69.5574,2,19.9134,41.74,19.9224,579464400
-93.0284,-3.29,-0.35,-1.12,-85.9341,93837,642.838,0.00616455,-92.9324,1.00781,-92.9324,0,0.0976563,-29.6212,-0.000715,-0.000913,0.001436,-29.6171,8.29626,-29.6171,4.14001,-29.6161,0,0,1,1,0,0,0,0,0,0,-64.5623,3.3,-64.5483,3.3,-64.5473,2.06,-64.5473,2,24.902,41.72,24.903,579469200
-92.0294,-3.29,-0.07,-0.63,-83.937,93832,643.279,0.447388,-91.9334,1.00781,-91.9324,0.0351563,0.15625,-19.6205,-0.000717,-0.000925,0.001443,-19.6196,8.28977,-19.6186,4.13677,-19.6156,0,0,1,1,0,0,0,0,0,0,-59.5532,3.3,-59.5532,3.3,-59.5532,2.06,-59.5522,2,29.8834,41.75,29.8854,579474200
-91.0284,-3.29,0.42,-0.77,-81.934,93834,643.102,0.270386,-90.9294,1.00781,-90.9294,0,0.132813,-9.62677,-0.000703,-0.00092,0.001445,-9.62274,8.28977,-9.62177,4.13352,-9.62079,0,0,1,1,0,0,0,0,0,0,-54.5559,3.3,-54.5559,3.3,-54.5529,2.05,-54.5529,2,34.8691,41.72,34.8711,579479200
-90.0284,-3.08,-0.42,-0.84,-79.9369,93826,643.811,0.978516,-89.9284,0.984375,-89.9284,0.0117188,0.144531,-0.230774,-0.000705,-0.000913,0.001445,-0.224792,8.28652,-0.223816,4.13677,-0.220825,0,0,1,1,0,0,0,0,0,0,-49.5612,3.3,-49.5612,3.3,-49.5582,2.04,-49.5582,2,39.8544,41.73,39.8594,579484200
-89.0273,-3.01,0.35,-0.49,-77.9328,93833,643.192,0.360229,-88.9293,1.00781,-88.9293,0.046875,0.121094,0.767151,-0.000923,-0.001201,0.001423,0.768127,8.28977,0.770142,4.13352,0.773132,0,0,1,1,0,0,0,0,0,0,-44.5582,3.3,-44.5582,3.3,-44.5582,2.04,-44.5573,2,44.8401,41.73,44.8441,579489200
-88.0292,-3.01,0.14,-0.7,-75.9367,93836,642.925,0.0933228,-87.9332,1.00781,-87.9322,0.0351563,0.0976563,1.76331,-0.000687,-0.001016,0.001432,1.76733,8.28652,1.76733,4.13677,1.76831,1,0,1,1,0,0,0,0,0,0,-39.5634,3.3,-39.5594,3.3,-39.5594,2.03,-39.5584,2.01,49.8252,41.73,49.8332,579494200
-87.0281,-3.15,0.49,-0.63,-73.9366,93836,642.925,0.0933228,-86.9321,0.996094,-86.9291,0.0351563,0.15625,2.76233,-0.000888,-0.001198,0.001438,2.76233,8.28977,2.76434,4.13352,2.77234,1,0,1,1,0,0,0,0,0,0,-34.5647,3.3,-34.5617,3.3,-34.5617,2.02,-34.5617,2.01,54.8124,41.71,54.8144,579499200
-86.0241,-2.94,-0.56,-1.12,-71.9375,93839,642.661,-0.170898,-85.9291,0.984375,-85.9291,0.0117188,0.0976563,3.75732,-0.000924,-0.001183,0.001435,3.76129,8.28977,3.76227,4.13677,3.76227,1,0,1,1,0,0,0,0,0,0,-29.5632,3.3,-29.5622,3.3,-29.5622,2.02,-29.5622,2.01,59.8031,41.68,59.8081,579504200
-85.0271,-3.78,0.56,-0.91,-69.9334,93834,643.102,0.270386,-84.9331,1.00781,-84.9321,0.0234375,0.144531,4.75531,-0.000795,-0.001137,0.001432,4.75629,8.28652,4.7583,4.13352,4.76428,1,0,1,1,0,0,0,0,0,0,-24.5632,3.3,-24.5632,3.3,-24.5623,2.01,-24.5623,2.01,64.7803,41.65,64.7833,579509000
