time(ms),altitude(m),velocity_pressure(m/s),acceleration_x(mG),acceleration_y(mG),acceleration_z(mG),acceleration_total(mG),gyro_x,gyro_y,gyro_z,bmp_temp(x100),pitch,roll,yaw,tilt,mt1_temp,apogee_prediction,air_brake_percent,target_alt,air_density,
-16741,-0.203,0.00,0,0,0,-1000.0,0,0,0,,0.00,0.00,0.00,0.00,,0.00,0,,12121,
-16502,-0.203,0.04,0,0,0,-1000.0,0,0,0,,0.00,0.00,0.00,0.00,,0.00,0,,12121,
-16263,-0.186,0.08,0,0,0,-1000.0,0,0,0,,0.00,0.00,0.00,0.00,,0.00,0,,12121,
-16024,-0.168,0.05,86,104,-974,-16.7,0,0,0,,80.48,124.32,113.73,95.35,,0.00,0,,12121,
-15786,-0.160,0.02,55,133,-970,-19.4,1,0,0,,80.57,122.60,112.59,95.06,,0.00,0,,12121,
-15547,-0.157,-0.02,90,99,-989,-2.0,0,0,2,3505,80.50,122.09,111.79,95.03,,0.00,0,,12121,
-15308,-0.167,-0.05,77,120,-976,-13.6,-3,0,2,,80.70,122.15,111.70,94.93,,0.00,0,,12121,
-15069,-0.180,-0.04,79,166,-954,-28.4,-4,0,1,,80.35,122.73,112.17,95.20,,0.00,0,,12121,
-14830,-0.186,-0.02,78,140,-969,-17.8,-1,0,1,,80.53,119.83,109.14,94.69,,0.00,0,,12121,
-14591,-0.189,-0.04,86,129,-978,-9.8,-3,0,1,,80.52,122.98,112.08,95.14,,0.00,0,,12121,
-14352,-0.207,-0.10,85,137,-975,-11.8,-2,0,0,3505,80.48,122.52,111.49,95.10,,0.00,0,,12121,
-14114,-0.236,-0.14,88,170,-945,-35.8,-3,0,0,,80.48,124.05,112.86,95.31,,0.00,0,,12121,
-13875,-0.276,-0.19,97,131,-965,-21.3,1,0,0,,80.38,125.38,114.03,95.55,,0.00,0,,12121,
-13636,-0.325,-0.19,90,125,-956,-31.7,0,0,1,,80.40,125.23,113.65,95.52,,0.00,0,,12121,
-13397,-0.366,-0.15,82,138,-971,-15.8,0,0,0,,80.64,121.93,110.32,94.93,,0.00,0,,12122,
-13158,-0.397,-0.07,78,119,-983,-6.8,2,0,0,3506,80.27,122.31,110.57,95.18,,0.00,0,,12122,
-12919,-0.398,0.04,86,121,-971,-17.7,-1,0,0,,80.42,123.85,111.89,95.32,,0.00,0,,12122,
-12680,-0.380,0.03,78,136,-972,-15.4,0,0,0,,80.56,121.88,109.78,94.97,,0.00,0,,12122,
-12442,-0.384,-0.02,78,123,-979,-10.2,1,0,0,,80.51,121.40,109.16,94.93,,0.00,0,,12122,
