Year,Month,Day,Time,Flight_Time_(s),Sync,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Quat_1,Quat_2,Quat_3,Quat_4,Aux_Volts,Current
2026,1,18,10:48:41.623,-0.076,52,-0.4,0.1,-0.7,0.03,0.00,-1.01,1.00000,0.00000,0.00000,-0.00010,0.047,0.0000
2026,1,18,10:48:41.625,-0.074,54,0.7,0.4,-1.9,0.01,0.06,-0.95,1.00000,0.00000,0.00000,-0.00013,0.047,0.0000
2026,1,18,10:48:41.627,-0.072,56,0.4,0.7,-1.9,0.02,-0.02,-1.01,1.00000,0.00000,0.00000,-0.00017,0.047,0.0000
2026,1,18,10:48:41.629,-0.070,58,0.7,1.2,-2.9,0.02,0.04,-1.04,1.00000,0.00000,0.00003,-0.00023,0.047,0.0000
2026,1,18,10:48:41.631,-0.068,60,-8.8,7.6,-6.6,-0.03,-0.08,-1.30,0.99997,-0.00013,0.00017,-0.00033,0.047,0.0000
2026,1,18,10:48:41.633,-0.066,62,5.4,-3.4,0.9,0.00,0.03,-2.08,1.00000,-0.00003,0.00010,-0.00033,0.047,0.0000
2026,1,18,10:48:41.635,-0.064,64,2.6,15.0,2.4,1.32,1.20,-11.49,0.99997,0.00000,0.00037,-0.00030,0.047,0.0000
2026,1,18,10:48:41.637,-0.062,66,-8.0,8.9,5.5,0.52,2.07,-26.54,0.99997,-0.00013,0.00053,-0.00020,0.047,0.0000
2026,1,18,10:48:41.639,-0.060,68,-19.7,16.6,27.6,3.63,3.31,-28.18,0.99997,-0.00047,0.00080,0.00027,0.047,0.0000
2026,1,18,10:48:41.641,-0.058,70,71.2,6.0,-29.9,1.57,-6.49,-53.98,0.99997,0.00073,0.00090,-0.00023,0.047,0.0000
2026,1,18,10:48:41.643,-0.056,72,16.3,-21.5,-2.3,-3.44,-5.70,-67.37,0.99997,0.00103,0.00053,-0.00027,0.047,0.0000
2026,1,18,10:48:41.645,-0.054,74,13.8,-63.1,58.2,-2.57,0.44,-75.25,0.99997,0.00127,-0.00053,0.00070,0.047,0.0000
2026,1,18,10:48:41.647,-0.052,76,41.7,22.4,-39.0,-5.08,9.37,-68.16,0.99997,0.00200,-0.00013,0.00003,0.047,0.0000
2026,1,18,10:48:41.649,-0.050,78,49.8,-30.7,-170.6,4.40,2.02,-73.48,0.99997,0.00287,-0.00067,-0.00293,0.046,0.0000
2026,1,18,10:48:41.651,-0.048,80,-15.8,21.3,-174.8,6.77,3.74,-70.53,0.99997,0.00260,-0.00030,-0.00597,0.047,0.0000
2026,1,18,10:48:41.653,-0.046,82,-34.8,18.5,-161.5,4.79,-2.27,-70.53,0.99993,0.00200,0.00003,-0.00880,0.047,0.0000
2026,1,18,10:48:41.655,-0.044,84,33.4,65.2,-91.0,3.59,5.43,-66.39,0.99993,0.00260,0.00117,-0.01037,0.047,0.0000
2026,1,18,10:48:41.657,-0.042,86,41.8,-29.5,-166.9,0.26,0.79,-65.60,0.99990,0.00330,0.00063,-0.01330,0.047,0.0000
2026,1,18,10:48:41.659,-0.040,88,-27.0,44.4,-193.9,-2.94,3.39,-66.00,0.99983,0.00283,0.00143,-0.01667,0.047,0.0000
2026,1,18,10:48:41.661,-0.038,90,33.7,-23.2,-211.4,-1.37,1.24,-65.80,0.99977,0.00343,0.00103,-0.02037,0.047,0.0000
2026,1,18,10:48:41.663,-0.036,92,1.4,39.9,-201.8,1.51,-5.98,-65.21,0.99970,0.00347,0.00173,-0.02390,0.047,0.0000
2026,1,18,10:48:41.665,-0.034,94,-43.8,-30.2,-78.6,6.38,-8.98,-66.59,0.99967,0.00267,0.00123,-0.02527,0.047,0.0000
2026,1,18,10:48:41.667,-0.032,96,29.2,11.6,103.6,-2.67,2.15,-61.86,0.99970,0.00320,0.00143,-0.02347,0.047,0.0000
2026,1,18,10:48:41.669,-0.030,98,-36.2,43.4,129.8,0.18,4.03,-65.60,0.99977,0.00257,0.00217,-0.02117,0.047,0.0000
2026,1,18,10:48:41.671,-0.028,100,7.1,29.6,-45.6,4.38,3.63,-63.43,0.99973,0.00270,0.00270,-0.02197,0.047,0.0000
2026,1,18,10:48:41.673,-0.026,102,0.0,34.3,-139.3,2.55,-11.14,-61.27,0.99967,0.00273,0.00330,-0.02440,0.046,0.0000
