TRACKER,DATE,TIME,GS Lat,GS Lon,GS Alt asl,TRACKER Lat,TRACKER Lon,TRACKER Alt asl,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI Down,RSSI Up,Horizontal range (ft),Alt AGL (ft),Total range (ft),LoRa Max Range (kft),LoRa Success Rate,BATT,GS_batt_v,Down Sent,Down Rcvd,Found Sent,Up Sent,Up Rccvd,Found rocket ID,Found rocket lat,Found rocket lon,Found rocket altitude,Found rocket fix,Found rocket batt_v,Found RSSI,GS_ASL_offset
Colleen5939,2026-01-18,10:45:45.282,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.0,3,0,0,104,0x01,29,7,17,0,-43,-60,1.19,-0.096,8.733,26.662,100%,3.398,4.122,811,789,0,789,785,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:46.301,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.0,3,0,0,18,0x01,28,6,18,1,-43,-57,1.19,-0.066,8.710,26.662,100%,3.407,4.123,812,790,0,790,786,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:47.291,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.0,3,0,0,123,0x01,29,6,18,1,-40,-57,1.19,-0.023,8.671,37.661,100%,3.407,4.122,813,791,0,791,787,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:48.282,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.0,3,0,0,-30,0x01,29,5,19,1,-42,-53,1.19,-0.024,8.674,29.915,100%,3.409,4.124,814,792,0,792,788,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:49.304,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.0,3,0,0,-28,0x01,28,5,19,1,-44,-53,1.16,-0.004,8.651,23.221,100%,3.409,4.122,815,793,0,793,789,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:50.291,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.0,3,0,0,155,0x01,29,6,17,2,-43,-57,1.14,-0.016,8.661,25.448,100%,3.407,4.123,816,794,0,794,790,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:51.281,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.1,3,0,0,-113,0x01,28,6,17,1,-46,-58,1.11,0.039,8.599,17.588,100%,3.407,4.121,817,795,0,795,791,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:52.302,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.1,3,0,0,-49,0x01,29,6,18,0,-48,-60,1.08,0.083,8.543,13.631,100%,3.407,4.123,818,796,0,796,792,,0.00000,0.00000,0.0,0,0.0,-50,-8.6
Colleen5939,2026-01-18,10:45:53.292,39.27869,-109.03995,4925.6,39.27869,-109.03995,4917.2,3,0,0,-56,0x01,29,6,17,1,-50,-61,1.06,0.095,8.517,10.559,100%,3.363,4.123,819,797,0,797,793,,0.00000,0.00000,0.0,0,0.0,-50,-8.5
Colleen5939,2026-01-18,10:45:54.281,39.27869,-109.03995,4925.6,39.27869,-109.03995,4917.1,3,0,0,23,0x01,29,6,17,0,-53,-64,1.06,0.071,8.533,7.475,100%,3.363,4.123,820,798,0,798,794,,0.00000,0.00000,0.0,0,0.0,-50,-8.5
Colleen5939,2026-01-18,10:45:55.300,39.27869,-109.03995,4925.6,39.27869,-109.03994,4917.1,3,0,0,97,0x01,29,6,17,1,-45,-66,1.08,-0.002,8.608,19.255,100%,3.401,4.122,821,799,0,799,795,,0.00000,0.00000,0.0,0,0.0,-50,-8.5
