UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT
Apr 17 2021 19:06:45.800 UTC,1618711605.800,2871,34.49497820,-116.95774080,21,3,0,0,1,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:44.900 UTC,1618711604.900,2871,34.49497830,-116.95774080,21,3,0,0,132,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.000 UTC,1618711605.000,2871,34.49497830,-116.95774080,21,3,0,0,-21,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.100 UTC,1618711605.100,2871,34.49497830,-116.95774090,21,3,0,0,-25,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.200 UTC,1618711605.200,2871,34.49497830,-116.95774090,21,3,0,0,164,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.300 UTC,1618711605.300,2871,34.49497820,-116.95774080,21,3,0,0,71,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.400 UTC,1618711605.400,2871,34.49497820,-116.95774090,21,3,0,0,-125,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.500 UTC,1618711605.500,2871,34.49497820,-116.95774090,21,3,0,0,-26,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.600 UTC,1618711605.600,2871,34.49497820,-116.95774080,21,3,0,0,40,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.700 UTC,1618711605.700,2871,34.49497820,-116.95774080,21,3,0,0,-164,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.800 UTC,1618711605.800,2871,34.49497820,-116.95774080,21,3,0,0,1,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:45.900 UTC,1618711605.900,2871,34.49497820,-116.95774080,21,3,0,0,-152,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:46.000 UTC,1618711606.000,2871,34.49497810,-116.95774080,21,3,0,0,-152,0x03,1,12,19,187,4.025
Apr 17 2021 19:06:46.100 UTC,1618711606.100,2871,34.49497810,-116.95774080,21,3,0,0,-168,0x03,1,13,19,187,4.025
Apr 17 2021 19:06:46.200 UTC,1618711606.200,2871,34.49497810,-116.95774080,21,3,0,0,26,0x03,1,13,19,187,4.025
Apr 17 2021 19:06:46.300 UTC,1618711606.300,2871,34.49497800,-116.95774080,21,3,0,0,-7,0x03,1,13,19,187,4.025
Apr 17 2021 19:06:46.400 UTC,1618711606.400,2871,34.49497800,-116.95774080,21,3,0,0,90,0x03,1,13,19,187,4.025
Apr 17 2021 19:06:46.500 UTC,1618711606.500,2871,34.49497800,-116.95774080,21,3,0,0,101,0x03,1,13,19,187,4.025
Apr 17 2021 19:06:46.600 UTC,1618711606.600,2871,34.49497800,-116.95774080,21,3,0,0,-56,0x03,1,13,19,187,4.025
Apr 17 2021 19:06:46.700 UTC,1618711606.700,2871,34.49497790,-116.95774080,21,3,0,0,-126,0x03,1,12,19,188,4.025
Apr 17 2021 19:06:46.800 UTC,1618711606.800,2871,34.49497790,-116.95774080,21,3,0,0,55,0x03,1,12,19,188,4.025
Apr 17 2021 19:06:46.900 UTC,1618711606.900,2871,34.49497790,-116.95774080,21,3,0,0,148,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.000 UTC,1618711607.000,2871,34.49497780,-116.95774080,21,3,0,0,-106,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.100 UTC,1618711607.100,2871,34.49497780,-116.95774090,21,3,0,0,-104,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.200 UTC,1618711607.200,2871,34.49497770,-116.95774090,21,3,0,0,136,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.300 UTC,1618711607.300,2871,34.49497770,-116.95774090,21,3,0,0,132,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.400 UTC,1618711607.400,2872,34.49497760,-116.95774090,21,3,0,0,-110,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.500 UTC,1618711607.500,2872,34.49497760,-116.95774100,21,3,0,0,28,0x03,1,13,18,188,4.025
Apr 17 2021 19:06:47.600 UTC,1618711607.600,2872,34.49497760,-116.95774090,21,3,0,0,53,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.700 UTC,1618711607.700,2871,34.49497760,-116.95774080,21,3,0,0,120,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.800 UTC,1618711607.800,2872,34.49497760,-116.95774090,21,3,0,0,-39,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:47.900 UTC,1618711607.900,2871,34.49497770,-116.95774090,21,3,0,0,24,0x03,1,13,19,188,4.025
Apr 17 2021 19:06:48.000 UTC,1618711608.000,2871,34.49497760,-116.95774080,21,3,0,0,153,0x03,1,13,20,188,4.025
Apr 17 2021 19:06:48.100 UTC,1618711608.100,2872,34.49497730,-116.95774160,21,3,5,5,-115,0x03,1,11,19,188,4.025
Apr 17 2021 19:06:48.200 UTC,1618711608.200,2872,34.49497790,-116.95774240,21,3,5,8,-7,0x03,1,8,16,188,4.025
Apr 17 2021 19:06:48.300 UTC,1618711608.300,2873,34.49498030,-116.95774380,21,3,12,11,-40,0x03,0,6,12,188,4.025
Apr 17 2021 19:06:48.400 UTC,1618711608.400,2875,34.49498080,-116.95774810,21,3,17,26,-110,0x03,0,5,10,188,4.025
Apr 17 2021 19:06:48.500 UTC,1618711608.500,2878,34.49497810,-116.95775960,20,3,46,47,-111,0x03,1,4,8,188,4.025
Apr 17 2021 19:06:48.500 UTC,1618711608.500,2878,34.49497810,-116.95775960,20,3,46,47,-111,0x03,1,4,8,188,4.025
Apr 17 2021 19:06:48.600 UTC,1618711608.600,2882,34.49497320,-116.95777700,19,3,63,54,-111,0x03,1,4,7,188,4.025
Apr 17 2021 19:06:48.700 UTC,1618711608.700,2884,34.49496900,-116.95779310,19,3,51,29,-108,0x03,1,4,7,181,4.025
Apr 17 2021 19:06:48.800 UTC,1618711608.800,2881,34.49497040,-116.95781040,19,3,58,-23,-78,0x03,0,4,6,181,4.026
Apr 17 2021 19:06:48.900 UTC,1618711608.900,2876,34.49497380,-116.95782840,19,3,55,-54,-78,0x03,0,4,7,181,4.026
Apr 17 2021 19:06:49.000 UTC,1618711609.000,2869,34.49497440,-116.95784240,19,3,36,-62,-93,0x03,0,4,7,181,4.026
Apr 17 2021 19:06:49.100 UTC,1618711609.100,2860,34.49497070,-116.95784480,18,3,19,-82,167,0x03,0,5,6,181,4.026
Apr 17 2021 19:06:49.200 UTC,1618711609.200,2850,34.49497130,-116.95784400,18,3,7,-97,-2,0x03,0,5,6,181,4.026
Apr 17 2021 19:06:49.300 UTC,1618711609.300,2835,34.49497190,-116.95785300,17,3,49,-144,-95,0x03,0,3,6,181,4.026
Apr 17 2021 19:06:50.700 UTC,1618711610.700,3441,34.49507170,-116.95784780,7,3,78,939,41,0x03,1,7,7,167,4.026
Apr 17 2021 19:06:50.800 UTC,1618711610.800,3608,34.49510070,-116.95787660,9,3,86,1039,44,0x03,2,9,9,154,4.025
Apr 17 2021 19:06:51.000 UTC,1618711611.000,3862,34.49522050,-116.95794440,8,3,85,1045,45,0x03,3,5,8,154,4.025
Apr 17 2021 19:06:51.100 UTC,1618711611.100,3986,34.49526300,-116.95793460,9,3,85,1036,45,0x03,3,6,9,154,4.025
Apr 17 2021 19:06:51.200 UTC,1618711611.200,4109,34.49528640,-116.95792550,10,3,87,1027,46,0x03,0,6,10,154,4.025
Apr 17 2021 19:06:51.300 UTC,1618711611.300,4223,34.49530400,-116.95789750,9,3,84,1014,46,0x03,0,9,9,154,4.025
Apr 17 2021 19:06:51.400 UTC,1618711611.400,4345,34.49532230,-116.95785400,11,3,83,1002,45,0x03,0,11,11,154,4.025
Apr 17 2021 19:06:51.500 UTC,1618711611.500,4455,34.49533190,-116.95782160,7,3,82,989,45,0x03,0,7,7,154,4.025
Apr 17 2021 19:06:51.600 UTC,1618711611.600,4566,34.49534740,-116.95780570,7,3,80,973,45,0x03,0,6,7,154,4.025
Apr 17 2021 19:06:51.700 UTC,1618711611.700,4681,34.49537190,-116.95781120,7,3,79,962,45,0x03,1,5,7,159,4.025
Apr 17 2021 19:06:51.800 UTC,1618711611.800,4795,34.49539690,-116.95778680,7,3,78,949,44,0x03,1,6,7,159,4.025
Apr 17 2021 19:06:51.900 UTC,1618711611.900,4907,34.49542160,-116.95775960,7,3,78,939,44,0x03,3,6,7,159,4.025
