Year,Month,Day,Time,Flight_Time_(s),Sync,Temperature_(F),Baro_Press_(atm),Baro_Altitude_ASL_(feet),Baro_Altitude_AGL_(feet),Batt_Volts,Apo_Volts,Main_Volts,3rd_Volts,4th_Volts,Velocity_Up,Velocity_DR,Velocity_CR,Inertial_Altitude,Inertial_DR_Position,Inertial_CR_position,Tilt_Angle_(deg),Future_Angle_(deg),Roll_Angle_(deg),Reserved_1,Reserved_2,Reserved_3,Rocket_FER_Hex,Apo_FER_H  ex,Main_FER_Hex,3rd_FER_Hex,4th_FER_Hex,Liftoff,Apogee,Press_Increasing,Burnout_Coast,Apo_fired,Main_fired,3rd_fired,4th_fired,Normal_Ascent,Accel_Vel_LE_0,ECI_Vvel_le_0,Tilt Exceeded 90deg,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved,LT_AGL1,GT_AGL2,LT_FANG1,GT_FANG2,GT_FUTANG,LT_TVAL1,GT_TVAL2,LT_VEL1,GT_VEL2,LT_BVEL1,GT_BURN,Armed,Reserved,Reserved
2024,5,11,14:09:44.602,-1.92,192,86.8,0.9916,233.8,3.1,4.127,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.642,-1.88,232,86.8,0.9917,229.3,-1.3,4.128,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.682,-1.84,22,86.8,0.9918,228.2,-2.4,4.127,4.10,4.13,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.722,-1.80,62,86.8,0.9917,230.5,-0.2,4.127,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.762,-1.76,102,86.8,0.9916,232.1,1.5,4.127,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.802,-1.72,142,86.8,0.9916,233.8,3.1,4.128,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.842,-1.68,182,86.8,0.9917,231.0,0.4,4.128,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.882,-1.64,222,86.8,0.9918,228.2,-2.4,4.128,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.922,-1.60,12,86.8,0.9916,232.1,1.5,4.128,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2024,5,11,14:09:44.962,-1.56,52,86.8,0.9918,228.2,-2.4,4.127,4.10,4.13,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0,0,0,200,8cd,8c9,8c9,8c9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
