Synthetic,"This flight is SYNTHETIC — numbers Debrief made up to demonstrate what it can read. It is not a recording of anything, nothing here was flown, and no figure from it means anything about a real rocket."
Demonstrates,"A design, and the flight it flew"
Columns,"The column names below are the ones an Eggtimer Classic writes, so that Debrief reads this file without being told about it. No Eggtimer recorded anything here and no device of any kind did: see the Synthetic row above."

T,Alt,VRaw,VFilt
0.00,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.10,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.20,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.30,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.40,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.50,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.60,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.70,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.80,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.90,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.00,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.10,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.20,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.30,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.40,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.50,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.60,0.0,0.0,0.0
1.65,0.0,0.0,0.0
1.70,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.80,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.90,0.0,0.0,0.0
1.95,0.0,0.0,0.0
2.00,0.0,0.0,0.0
2.05,0.0,0.0,0.0
2.10,0.0,0.0,0.0
2.15,0.0,0.0,0.0
2.20,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.30,0.0,0.0,0.0
2.35,0.0,0.0,0.0
2.40,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.50,0.0,0.0,0.0
2.55,0.0,0.0,0.0
2.60,0.0,0.0,0.0
2.65,0.0,0.0,0.0
2.70,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.80,0.0,0.0,0.0
2.85,0.0,0.0,0.0
2.90,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.00,0.0,0.0,0.0
3.05,0.9,17.7,17.7
3.10,2.7,35.5,35.5
3.15,5.3,53.2,53.2
3.20,8.9,71.0,71.0
3.25,13.3,88.7,88.7
3.30,18.6,106.5,106.5
3.35,24.8,124.2,124.2
3.40,32.0,142.0,142.0
3.45,39.9,159.7,159.7
3.50,48.8,177.5,177.5
3.55,58.6,195.2,195.2
3.60,69.2,213.0,213.0
3.65,80.7,230.7,230.7
3.70,93.2,248.5,248.5
3.75,106.5,266.2,266.2
3.80,120.7,284.0,284.0
3.85,135.8,301.7,301.7
3.90,151.7,319.5,319.5
3.95,168.6,337.2,337.2
4.00,186.4,355.0,355.0
4.05,205.0,372.7,372.7
4.10,224.5,390.5,390.5
4.15,244.9,408.2,408.2
4.20,266.2,426.0,426.0
