Synthetic,"This flight is SYNTHETIC — numbers Debrief made up to demonstrate what it can read. It is not a recording of anything, nothing here was flown, and no figure from it means anything about a real rocket."
Demonstrates,"A tracker whose fix kept changing"
Columns,"The column names below are the ones a Featherweight GPS tracker writes, so that Debrief reads this file without being told about it. No tracker recorded anything here and no receiver of any kind did: see the Synthetic row above."

UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT
Nov 14 2023 22:13:20.000 UTC,1700000000.000,0,40.0000000,0.0000000,9,3,0,0.0,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:21.000 UTC,1700000001.000,0,40.0000000,0.0000000,9,3,0,0.0,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:22.000 UTC,1700000002.000,0,40.0000000,0.0000000,9,3,0,0.0,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:23.000 UTC,1700000003.000,0,40.0000000,0.0000000,9,3,0,0.0,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:24.000 UTC,1700000004.000,0,40.0000000,0.0000000,9,3,0,0.0,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:25.000 UTC,1700000005.000,0,40.0000000,0.0000000,9,3,0,0.0,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:26.000 UTC,1700000006.000,69,40.0000000,0.0000704,9,3,0,131.9,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:27.000 UTC,1700000007.000,270,40.0000000,0.0001407,9,3,0,263.7,90,0x03,2,3,3,180,4.010
Nov 14 2023 22:13:28.000 UTC,1700000008.000,603,40.0000000,0.0002111,8,3,0,395.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:29.000 UTC,1700000009.000,1068,40.0000000,0.0002814,8,3,0,527.5,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:30.000 UTC,1700000010.000,1587,40.0000000,0.0003518,8,3,0,503.5,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:31.000 UTC,1700000011.000,2074,40.0000000,0.0004222,8,3,0,471.3,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:32.000 UTC,1700000012.000,2528,40.0000000,0.0004925,8,3,0,439.2,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:33.000 UTC,1700000013.000,2950,40.0000000,0.0005629,8,3,0,407.0,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:34.000 UTC,1700000014.000,3340,40.0000000,0.0006332,8,3,0,374.8,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:35.000 UTC,1700000015.000,3698,40.0000000,0.0007036,8,3,0,342.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:36.000 UTC,1700000016.000,4024,40.0000000,0.0007740,8,3,0,310.5,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:37.000 UTC,1700000017.000,4318,40.0000000,0.0008443,8,3,0,278.3,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:38.000 UTC,1700000018.000,4579,40.0000000,0.0009147,8,3,0,246.1,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:39.000 UTC,1700000019.000,4808,40.0000000,0.0009850,8,3,0,213.9,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:40.000 UTC,1700000020.000,5005,40.0000000,0.0010554,8,3,0,181.8,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:41.000 UTC,1700000021.000,5170,40.0000000,0.0011258,8,3,0,149.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:42.000 UTC,1700000022.000,5303,40.0000000,0.0011961,8,3,0,117.4,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:43.000 UTC,1700000023.000,5403,40.0000000,0.0012665,8,3,0,85.2,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:44.000 UTC,1700000024.000,5472,40.0000000,0.0013368,8,3,0,53.1,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:45.000 UTC,1700000025.000,5508,40.0000000,0.0014072,8,3,0,20.9,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:46.000 UTC,1700000026.000,5505,40.0000000,0.0014776,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:47.000 UTC,1700000027.000,5481,40.0000000,0.0015479,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:48.000 UTC,1700000028.000,5456,40.0000000,0.0016183,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:49.000 UTC,1700000029.000,5432,40.0000000,0.0016886,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:50.000 UTC,1700000030.000,5407,40.0000000,0.0017590,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:51.000 UTC,1700000031.000,5382,40.0000000,0.0018294,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:52.000 UTC,1700000032.000,5358,40.0000000,0.0018997,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:53.000 UTC,1700000033.000,5333,40.0000000,0.0019701,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:54.000 UTC,1700000034.000,5309,40.0000000,0.0020404,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
Nov 14 2023 22:13:55.000 UTC,1700000035.000,5284,40.0000000,0.0021108,8,3,0,-24.6,90,0x03,2,2,3,180,4.010
