Synthetic,"This flight is SYNTHETIC — numbers Debrief made up to demonstrate what it can read. It is not a recording of anything, nothing here was flown, and no figure from it means anything about a real rocket."
Demonstrates,"an accelerometer that ran out of range"

Elapsed,Height,Rate,G force
0.00,0.0,0.0,1.00
0.05,0.0,0.0,1.00
0.10,0.0,0.0,1.00
0.15,0.0,0.0,1.00
0.20,0.0,0.0,1.00
0.25,0.0,0.0,1.00
0.30,0.0,0.0,1.00
0.35,0.0,0.0,1.00
0.40,0.0,0.0,1.00
0.45,0.0,0.0,1.00
0.50,0.0,0.0,1.00
0.55,0.0,0.0,1.00
0.60,0.0,0.0,1.00
0.65,0.0,0.0,1.00
0.70,0.0,0.0,1.00
0.75,0.0,0.0,1.00
0.80,0.0,0.0,1.00
0.85,0.0,0.0,1.00
0.90,0.0,0.0,1.00
0.95,0.0,0.0,1.00
1.00,0.0,0.0,1.00
1.05,0.0,0.0,1.00
1.10,0.0,0.0,1.00
1.15,0.0,0.0,1.00
1.20,0.0,0.0,1.00
1.25,0.0,0.0,1.00
1.30,0.0,0.0,1.00
1.35,0.0,0.0,1.00
1.40,0.0,0.0,1.00
1.45,0.0,0.0,1.00
1.50,0.0,0.0,1.00
1.55,0.0,0.0,1.00
1.60,0.0,0.0,1.00
1.65,0.0,0.0,1.00
1.70,0.0,0.0,1.00
1.75,0.0,0.0,1.00
1.80,0.0,0.0,1.00
1.85,0.0,0.0,1.00
1.90,0.0,0.0,1.00
1.95,0.0,0.0,1.00
2.00,0.0,0.0,1.00
2.05,0.0,0.0,1.00
2.10,0.0,0.0,1.00
2.15,0.0,0.0,1.00
2.20,0.0,0.0,1.00
2.25,0.0,0.0,1.00
2.30,0.0,0.0,1.00
2.35,0.0,0.0,1.00
2.40,0.0,0.0,1.00
2.45,0.0,0.0,1.00
2.50,0.0,0.0,1.00
2.55,0.0,0.0,1.00
2.60,0.0,0.0,1.00
2.65,0.0,0.0,1.00
2.70,0.0,0.0,1.00
2.75,0.0,0.0,1.00
2.80,0.0,0.0,1.00
2.85,0.0,0.0,1.00
2.90,0.0,0.0,1.00
2.95,0.0,0.0,1.00
3.00,0.0,0.0,0.00
3.05,-0.1,-1.6,3.13
3.10,0.0,1.8,6.21
3.15,0.5,10.2,9.18
3.20,1.7,23.4,12.00
3.25,3.7,41.1,14.61
3.30,6.9,63.0,16.00
3.35,11.3,88.6,16.00
3.40,17.2,117.7,16.00
3.45,24.7,149.5,16.00
3.50,33.9,183.6,16.00
3.55,44.8,219.3,16.00
3.60,57.6,255.9,16.00
3.65,72.3,292.9,16.00
3.70,88.7,329.6,16.00
3.75,107.0,365.3,16.00
3.80,127.0,399.3,16.00
3.85,148.5,431.2,16.00
3.90,171.6,460.2,16.00
3.95,195.8,485.9,14.61
4.00,221.2,507.8,12.00
4.05,247.5,525.5,9.18
4.10,274.4,538.6,6.21
4.15,301.8,547.0,3.13
4.20,329.3,550.5,0.00
4.25,356.8,548.9,0.00
4.30,384.1,547.2,0.00
4.35,411.4,545.6,0.00
4.40,438.6,544.0,0.00
4.45,465.7,542.4,0.00
4.50,492.7,540.8,0.00
4.55,519.7,539.2,0.00
4.60,546.6,537.6,0.00
4.65,573.4,536.0,0.00
4.70,600.1,534.4,0.00
4.75,626.7,532.7,0.00
4.80,653.3,531.1,0.00
4.85,679.8,529.5,0.00
4.90,706.2,527.9,0.00
4.95,732.5,526.3,0.00
5.00,758.7,524.7,0.00
5.05,784.9,523.1,0.00
5.10,811.0,521.5,0.00
5.15,836.9,519.9,0.00
5.20,862.9,518.3,0.00
5.25,888.7,516.7,0.00
5.30,914.4,515.1,0.00
5.35,940.1,513.5,0.00
5.40,965.7,511.8,0.00
5.45,991.2,510.2,0.00
5.50,1016.7,508.6,0.00
5.55,1042.0,507.0,0.00
5.60,1067.3,505.4,0.00
5.65,1092.5,503.8,0.00
5.70,1117.6,502.2,0.00
5.75,1142.6,500.6,0.00
5.80,1167.6,499.0,0.00
5.85,1192.4,497.4,0.00
5.90,1217.2,495.8,0.00
5.95,1241.9,494.2,0.00
6.00,1266.5,492.5,0.00
6.05,1291.1,490.9,0.00
6.10,1315.6,489.3,0.00
6.15,1339.9,487.7,0.00
6.20,1364.2,486.1,0.00
6.25,1388.5,484.5,0.00
6.30,1412.6,482.9,0.00
6.35,1436.7,481.3,0.00
6.40,1460.7,479.7,0.00
6.45,1484.5,478.1,0.00
6.50,1508.4,476.4,0.00
6.55,1532.1,474.8,0.00
6.60,1555.8,473.2,0.00
6.65,1579.4,471.6,0.00
6.70,1602.9,470.0,0.00
6.75,1626.3,468.4,0.00
6.80,1649.6,466.8,0.00
6.85,1672.9,465.2,0.00
6.90,1696.1,463.6,0.00
6.95,1719.2,462.0,0.00
7.00,1742.2,460.4,0.00
7.05,1765.1,458.8,0.00
7.10,1788.0,457.2,0.00
7.15,1810.8,455.5,0.00
7.20,1833.5,453.9,0.00
7.25,1856.1,452.3,0.00
7.30,1878.6,450.7,0.00
7.35,1901.0,449.1,0.00
7.40,1923.4,447.5,0.00
7.45,1945.7,445.9,0.00
7.50,1967.9,444.3,0.00
7.55,1990.1,442.7,0.00
7.60,2012.1,441.0,0.00
7.65,2034.1,439.4,0.00
7.70,2056.0,437.8,0.00
7.75,2077.8,436.2,0.00
7.80,2099.5,434.6,0.00
7.85,2121.2,433.0,0.00
7.90,2142.7,431.4,0.00
7.95,2164.2,429.8,0.00
8.00,2185.7,428.2,0.00
8.05,2207.0,426.6,0.00
8.10,2228.2,425.0,0.00
8.15,2249.4,423.4,0.00
8.20,2270.5,421.8,0.00
8.25,2291.5,420.1,0.00
8.30,2312.4,418.5,0.00
8.35,2333.3,416.9,0.00
8.40,2354.0,415.3,0.00
8.45,2374.7,413.7,0.00
8.50,2395.3,412.1,0.00
8.55,2415.8,410.5,0.00
8.60,2436.3,408.9,0.00
8.65,2456.7,407.3,0.00
8.70,2476.9,405.7,0.00
8.75,2497.1,404.1,0.00
8.80,2517.3,402.5,0.00
8.85,2537.3,400.9,0.00
8.90,2557.3,399.2,0.00
8.95,2577.2,397.6,0.00
9.00,2596.9,396.0,0.00
9.05,2616.7,394.4,0.00
9.10,2636.3,392.8,0.00
9.15,2655.9,391.2,0.00
9.20,2675.4,389.6,0.00
9.25,2694.8,388.0,0.00
9.30,2714.1,386.4,0.00
9.35,2733.3,384.7,0.00
9.40,2752.5,383.1,0.00
9.45,2771.5,381.5,0.00
9.50,2790.5,379.9,0.00
9.55,2809.4,378.3,0.00
9.60,2828.3,376.7,0.00
9.65,2847.0,375.1,0.00
9.70,2865.7,373.5,0.00
9.75,2884.3,371.9,0.00
9.80,2902.8,370.3,0.00
9.85,2921.3,368.7,0.00
9.90,2939.6,367.1,0.00
9.95,2957.9,365.5,0.00
10.00,2976.1,363.8,0.00
10.05,2994.2,362.2,0.00
10.10,3012.2,360.6,0.00
10.15,3030.2,359.0,0.00
10.20,3048.0,357.4,0.00
10.25,3065.8,355.8,0.00
10.30,3083.5,354.2,0.00
10.35,3101.1,352.6,0.00
10.40,3118.7,351.0,0.00
10.45,3136.2,349.4,0.00
10.50,3153.6,347.7,0.00
10.55,3170.9,346.1,0.00
10.60,3188.1,344.5,0.00
10.65,3205.2,342.9,0.00
10.70,3222.3,341.3,0.00
10.75,3239.3,339.7,0.00
10.80,3256.2,338.1,0.00
10.85,3273.0,336.5,0.00
10.90,3289.8,334.9,0.00
10.95,3306.4,333.3,0.00
11.00,3323.0,331.7,0.00
11.05,3339.5,330.1,0.00
11.10,3355.9,328.4,0.00
11.15,3372.3,326.8,0.00
11.20,3388.5,325.2,0.00
11.25,3404.7,323.6,0.00
11.30,3420.8,322.0,0.00
11.35,3436.8,320.4,0.00
11.40,3452.8,318.8,0.00
11.45,3468.6,317.2,0.00
11.50,3484.4,315.6,0.00
11.55,3500.1,314.0,0.00
11.60,3515.7,312.4,0.00
11.65,3531.3,310.8,0.00
11.70,3546.8,309.2,0.00
11.75,3562.1,307.5,0.00
11.80,3577.4,305.9,0.00
11.85,3592.6,304.3,0.00
11.90,3607.8,302.7,0.00
11.95,3622.8,301.1,0.00
12.00,3637.8,299.5,0.00
12.05,3652.7,297.9,0.00
12.10,3667.5,296.3,0.00
12.15,3682.3,294.7,0.00
12.20,3696.9,293.0,0.00
12.25,3711.5,291.4,0.00
12.30,3726.0,289.8,0.00
12.35,3740.4,288.2,0.00
12.40,3754.7,286.6,0.00
12.45,3768.9,285.0,0.00
12.50,3783.1,283.4,0.00
12.55,3797.2,281.8,0.00
12.60,3811.2,280.2,0.00
12.65,3825.1,278.6,0.00
12.70,3839.0,277.0,0.00
12.75,3852.8,275.4,0.00
12.80,3866.4,273.8,0.00
12.85,3880.1,272.1,0.00
12.90,3893.6,270.5,0.00
12.95,3907.0,268.9,0.00
13.00,3920.4,267.3,0.00
13.05,3933.7,265.7,0.00
13.10,3946.9,264.1,0.00
13.15,3960.0,262.5,0.00
13.20,3973.1,260.9,0.00
13.25,3986.0,259.3,0.00
13.30,3998.9,257.7,0.00
13.35,4011.7,256.1,0.00
13.40,4024.4,254.5,0.00
13.45,4037.1,252.9,0.00
13.50,4049.6,251.2,0.00
13.55,4062.1,249.6,0.00
13.60,4074.5,248.0,0.00
13.65,4086.8,246.4,0.00
13.70,4099.1,244.8,0.00
13.75,4111.2,243.2,0.00
13.80,4123.3,241.6,0.00
13.85,4135.3,240.0,0.00
13.90,4147.2,238.4,0.00
13.95,4159.1,236.7,0.00
14.00,4170.8,235.1,0.00
14.05,4182.5,233.5,0.00
14.10,4194.1,231.9,0.00
14.15,4205.6,230.3,0.00
14.20,4217.0,228.7,0.00
14.25,4228.4,227.1,0.00
14.30,4239.7,225.5,0.00
14.35,4250.9,223.9,0.00
14.40,4262.0,222.3,0.00
14.45,4273.0,220.7,0.00
14.50,4284.0,219.1,0.00
14.55,4294.8,217.5,0.00
14.60,4305.6,215.8,0.00
14.65,4316.3,214.2,0.00
14.70,4327.0,212.6,0.00
14.75,4337.5,211.0,0.00
14.80,4348.0,209.4,0.00
14.85,4358.4,207.8,0.00
14.90,4368.7,206.2,0.00
14.95,4378.9,204.6,0.00
15.00,4389.1,203.0,0.00
15.05,4399.1,201.3,0.00
15.10,4409.1,199.7,0.00
15.15,4419.0,198.1,0.00
15.20,4428.9,196.5,0.00
15.25,4438.6,194.9,0.00
15.30,4448.3,193.3,0.00
15.35,4457.8,191.7,0.00
15.40,4467.4,190.1,0.00
15.45,4476.8,188.5,0.00
15.50,4486.1,186.9,0.00
15.55,4495.4,185.3,0.00
15.60,4504.6,183.7,0.00
15.65,4513.7,182.1,0.00
15.70,4522.7,180.4,0.00
15.75,4531.7,178.8,0.00
15.80,4540.5,177.2,0.00
15.85,4549.3,175.6,0.00
15.90,4558.0,174.0,0.00
15.95,4566.6,172.4,0.00
16.00,4575.1,170.8,0.00
16.05,4583.6,169.2,0.00
16.10,4592.0,167.6,0.00
16.15,4600.3,166.0,0.00
16.20,4608.5,164.4,0.00
16.25,4616.6,162.8,0.00
16.30,4624.7,161.2,0.00
16.35,4632.7,159.5,0.00
16.40,4640.6,157.9,0.00
16.45,4648.4,156.3,0.00
16.50,4656.1,154.7,0.00
16.55,4663.8,153.1,0.00
16.60,4671.4,151.5,0.00
16.65,4678.8,149.9,0.00
16.70,4686.3,148.3,0.00
16.75,4693.6,146.7,0.00
16.80,4700.9,145.0,0.00
16.85,4708.0,143.4,0.00
16.90,4715.1,141.8,0.00
16.95,4722.1,140.2,0.00
17.00,4729.0,138.6,0.00
17.05,4735.9,137.0,0.00
17.10,4742.7,135.4,0.00
17.15,4749.4,133.8,0.00
17.20,4756.0,132.2,0.00
17.25,4762.5,130.6,0.00
17.30,4769.0,129.0,0.00
17.35,4775.3,127.4,0.00
17.40,4781.6,125.8,0.00
17.45,4787.8,124.1,0.00
17.50,4793.9,122.5,0.00
17.55,4800.0,120.9,0.00
17.60,4805.9,119.3,0.00
17.65,4811.8,117.7,0.00
17.70,4817.7,116.1,0.00
17.75,4823.4,114.5,0.00
17.80,4829.0,112.9,0.00
17.85,4834.6,111.3,0.00
17.90,4840.1,109.7,0.00
17.95,4845.5,108.1,0.00
18.00,4850.8,106.4,0.00
18.05,4856.0,104.8,0.00
18.10,4861.2,103.2,0.00
18.15,4866.3,101.6,0.00
18.20,4871.3,100.0,0.00
18.25,4876.2,98.4,0.00
18.30,4881.0,96.8,0.00
18.35,4885.8,95.2,0.00
18.40,4890.5,93.6,0.00
18.45,4895.0,92.0,0.00
18.50,4899.6,90.4,0.00
18.55,4904.0,88.7,0.00
18.60,4908.4,87.1,0.00
18.65,4912.7,85.5,0.00
18.70,4916.8,83.9,0.00
18.75,4921.0,82.3,0.00
18.80,4925.0,80.7,0.00
18.85,4928.9,79.1,0.00
18.90,4932.8,77.5,0.00
18.95,4936.6,75.9,0.00
19.00,4940.3,74.3,0.00
19.05,4944.0,72.7,0.00
19.10,4947.5,71.1,0.00
19.15,4951.0,69.5,0.00
19.20,4954.4,67.8,0.00
19.25,4957.7,66.2,0.00
19.30,4960.9,64.6,0.00
19.35,4964.1,63.0,0.00
19.40,4967.2,61.4,0.00
19.45,4970.1,59.8,0.00
19.50,4973.0,58.2,0.00
19.55,4975.9,56.6,0.00
19.60,4978.6,55.0,0.00
19.65,4981.3,53.3,0.00
19.70,4983.9,51.7,0.00
19.75,4986.4,50.1,0.00
19.80,4988.8,48.5,0.00
19.85,4991.2,46.9,0.00
19.90,4993.4,45.3,0.00
19.95,4995.6,43.7,0.00
20.00,4997.7,42.1,0.00
20.05,4999.7,40.5,0.00
20.10,5001.7,38.9,0.00
20.15,5003.5,37.3,0.00
20.20,5005.3,35.7,0.00
20.25,5007.0,34.1,0.00
20.30,5008.7,32.4,0.00
20.35,5010.2,30.8,0.00
20.40,5011.6,29.2,0.00
20.45,5013.0,27.6,0.00
20.50,5014.3,26.0,0.00
20.55,5015.6,24.4,0.00
20.60,5016.7,22.8,0.00
20.65,5017.7,21.2,0.00
20.70,5018.7,19.6,0.00
20.75,5019.7,18.0,0.00
20.80,5020.5,16.4,0.00
20.85,5021.2,14.8,0.00
20.90,5021.9,13.2,0.00
20.95,5022.4,11.5,0.00
21.00,5022.9,9.9,0.00
21.05,5023.3,8.3,0.00
21.10,5023.7,6.7,0.00
21.15,5023.9,5.1,0.00
21.20,5024.1,3.5,0.00
21.25,5024.2,1.9,0.00
21.30,5024.2,0.3,0.00
21.40,5022.9,-24.6,1.00
21.45,5021.7,-24.6,1.00
21.50,5020.4,-24.6,1.00
21.55,5019.2,-24.6,1.00
21.60,5018.0,-24.6,1.00
21.65,5016.8,-24.6,1.00
21.70,5015.5,-24.6,1.00
21.75,5014.3,-24.6,1.00
21.80,5013.1,-24.6,1.00
21.85,5011.8,-24.6,1.00
21.90,5010.6,-24.6,1.00
21.95,5009.4,-24.6,1.00
22.00,5008.1,-24.6,1.00
22.05,5006.9,-24.6,1.00
22.10,5005.7,-24.6,1.00
22.15,5004.5,-24.6,1.00
22.20,5003.2,-24.6,1.00
22.25,5002.0,-24.6,1.00
22.30,5000.8,-24.6,1.00
22.35,4999.5,-24.6,1.00
22.40,4998.3,-24.6,1.00
22.45,4997.1,-24.6,1.00
22.50,4995.8,-24.6,1.00
22.55,4994.6,-24.6,1.00
22.60,4993.4,-24.6,1.00
22.65,4992.2,-24.6,1.00
22.70,4990.9,-24.6,1.00
22.75,4989.7,-24.6,1.00
22.80,4988.5,-24.6,1.00
22.85,4987.2,-24.6,1.00
22.90,4986.0,-24.6,1.00
22.95,4984.8,-24.6,1.00
23.00,4983.5,-24.6,1.00
23.05,4982.3,-24.6,1.00
23.10,4981.1,-24.6,1.00
23.15,4979.9,-24.6,1.00
23.20,4978.6,-24.6,1.00
23.25,4977.4,-24.6,1.00
23.30,4976.1,-24.6,1.00
23.35,4974.9,-24.6,1.00
23.40,4973.7,-24.6,1.00
23.45,4972.5,-24.6,1.00
23.50,4971.2,-24.6,1.00
23.55,4970.0,-24.6,1.00
23.60,4968.8,-24.6,1.00
23.65,4967.6,-24.6,1.00
23.70,4966.3,-24.6,1.00
23.75,4965.1,-24.6,1.00
23.80,4963.8,-24.6,1.00
23.85,4962.6,-24.6,1.00
23.90,4961.4,-24.6,1.00
23.95,4960.2,-24.6,1.00
24.00,4958.9,-24.6,1.00
24.05,4957.7,-24.6,1.00
24.10,4956.5,-24.6,1.00
24.15,4955.2,-24.6,1.00
24.20,4954.0,-24.6,1.00
24.25,4952.8,-24.6,1.00
