Synthetic,"This flight is SYNTHETIC — numbers Debrief made up to demonstrate what it can read. It is not a recording of anything, nothing here was flown, and no figure from it means anything about a real rocket."
Demonstrates,"the booster half of a staged launch, on its own altimeter"
Stage,"booster"
Columns,"The column names below are the ones an Eggtimer Classic writes, so that Debrief reads this file without being told about it. No Eggtimer recorded anything here and no device of any kind did: see the Synthetic row above."

T,Alt,VRaw,VFilt
0.00,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.10,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.20,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.30,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.40,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.50,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.60,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.70,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.80,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.90,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.00,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.10,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.20,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.30,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.40,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.50,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.60,0.0,0.0,0.0
1.65,0.0,0.0,0.0
1.70,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.80,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.90,0.0,0.0,0.0
1.95,0.0,0.0,0.0
2.00,0.0,0.0,0.0
2.05,0.0,0.0,0.0
2.10,0.0,0.0,0.0
2.15,0.0,0.0,0.0
2.20,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.30,0.0,0.0,0.0
2.35,0.0,0.0,0.0
2.40,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.50,0.0,0.0,0.0
2.55,0.0,0.0,0.0
2.60,0.0,0.0,0.0
2.65,0.0,0.0,0.0
2.70,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.80,0.0,0.0,0.0
2.85,0.0,0.0,0.0
2.90,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.00,0.0,0.0,0.0
3.05,0.0,0.0,0.0
3.10,0.0,0.0,0.0
3.15,0.0,0.0,0.0
3.20,0.0,0.0,0.0
3.25,0.0,0.0,0.0
3.30,0.0,0.0,0.0
3.35,0.0,0.0,0.0
3.40,0.0,0.0,0.0
3.45,0.0,0.0,0.0
3.50,0.0,0.0,0.0
3.55,0.0,0.0,0.0
3.60,0.0,0.0,0.0
3.65,0.0,0.0,0.0
3.70,0.0,0.0,0.0
3.75,0.0,0.0,0.0
3.80,0.0,0.0,0.0
3.85,0.0,0.0,0.0
3.90,0.0,0.0,0.0
3.95,0.0,0.0,0.0
4.00,0.0,0.0,0.0
4.05,0.0,0.0,0.0
4.10,0.0,0.0,0.0
4.15,0.0,0.0,0.0
4.20,0.0,0.0,0.0
4.25,0.0,0.0,0.0
4.30,0.0,0.0,0.0
4.35,0.0,0.0,0.0
4.40,0.0,0.0,0.0
4.45,0.0,0.0,0.0
4.50,0.0,0.0,0.0
4.55,0.0,0.0,0.0
4.60,0.0,0.0,0.0
4.65,0.0,0.0,0.0
4.70,0.0,0.0,0.0
4.75,0.0,0.0,0.0
4.80,0.0,0.0,0.0
4.85,0.0,0.0,0.0
4.90,0.0,0.0,0.0
4.95,0.0,0.0,0.0
5.00,0.0,0.0,0.0
5.05,0.0,0.0,0.0
5.10,0.0,0.0,0.0
5.15,0.0,0.0,0.0
5.20,0.0,0.0,0.0
5.25,0.0,0.0,0.0
5.30,0.0,0.0,0.0
5.35,0.0,0.0,0.0
5.40,0.0,0.0,0.0
5.45,0.0,0.0,0.0
5.50,0.0,0.0,0.0
5.55,0.0,0.0,0.0
5.60,0.0,0.0,0.0
5.65,0.0,0.0,0.0
5.70,0.0,0.0,0.0
5.75,0.0,0.0,0.0
5.80,0.0,0.0,0.0
5.85,0.0,0.0,0.0
5.90,0.0,0.0,0.0
5.95,0.0,0.0,0.0
6.00,0.0,0.0,0.0
6.05,0.0,0.0,0.0
6.10,0.0,0.0,0.0
6.15,0.0,0.0,0.0
6.20,0.0,0.0,0.0
6.25,0.0,0.0,0.0
6.30,0.0,0.0,0.0
6.35,0.0,0.0,0.0
6.40,0.0,0.0,0.0
6.45,0.0,0.0,0.0
6.50,0.0,0.0,0.0
6.55,0.0,0.0,0.0
6.60,0.0,0.0,0.0
6.65,0.0,0.0,0.0
6.70,0.0,0.0,0.0
6.75,0.0,0.0,0.0
6.80,0.0,0.0,0.0
6.85,0.0,0.0,0.0
6.90,0.0,0.0,0.0
6.95,0.0,0.0,0.0
7.00,0.0,0.0,0.0
7.05,0.0,0.0,0.0
7.10,0.0,0.0,0.0
7.15,0.0,0.0,0.0
7.20,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.30,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.40,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.50,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.60,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.70,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.80,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.90,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.00,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.10,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.20,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.30,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.40,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.50,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.60,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.70,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.80,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.90,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.00,0.0,0.0,0.0
9.05,0.0,0.0,0.0
9.10,0.0,0.0,0.0
9.15,0.0,0.0,0.0
9.20,0.0,0.0,0.0
9.25,0.0,0.0,0.0
9.30,0.0,0.0,0.0
9.35,0.0,0.0,0.0
9.40,0.0,0.0,0.0
9.45,0.0,0.0,0.0
9.50,0.0,0.0,0.0
9.55,0.0,0.0,0.0
9.60,0.0,0.0,0.0
9.65,0.0,0.0,0.0
9.70,0.0,0.0,0.0
9.75,0.0,0.0,0.0
9.80,0.0,0.0,0.0
9.85,0.0,0.0,0.0
9.90,0.0,0.0,0.0
9.95,0.0,0.0,0.0
10.00,0.0,0.0,0.0
10.05,0.0,0.0,0.0
10.10,0.0,0.0,0.0
10.15,0.0,0.0,0.0
10.20,0.0,0.0,0.0
10.25,0.0,0.0,0.0
10.30,0.0,0.0,0.0
10.35,0.0,0.0,0.0
10.40,0.0,0.0,0.0
10.45,0.0,0.0,0.0
10.50,0.0,0.0,0.0
10.55,0.0,0.0,0.0
10.60,0.0,0.0,0.0
10.65,0.0,0.0,0.0
10.70,0.0,0.0,0.0
10.75,0.0,0.0,0.0
10.80,0.0,0.0,0.0
10.85,0.0,0.0,0.0
10.90,0.0,0.0,0.0
10.95,0.0,0.0,0.0
11.00,0.0,0.0,0.0
11.05,0.0,0.0,0.0
11.10,0.0,0.0,0.0
11.15,0.0,0.0,0.0
11.20,0.0,0.0,0.0
11.25,0.0,0.0,0.0
11.30,0.0,0.0,0.0
11.35,0.0,0.0,0.0
11.40,0.0,0.0,0.0
11.45,0.0,0.0,0.0
11.50,0.0,0.0,0.0
11.55,0.0,0.0,0.0
11.60,0.0,0.0,0.0
11.65,0.0,0.0,0.0
11.70,0.0,0.0,0.0
11.75,0.0,0.0,0.0
11.80,0.0,0.0,0.0
11.85,0.0,0.0,0.0
11.90,0.0,0.0,0.0
11.95,0.0,0.0,0.0
12.00,0.0,0.0,0.0
12.05,0.4,7.4,7.4
12.10,1.1,14.8,14.8
12.15,2.2,22.2,22.2
12.20,3.7,29.7,29.7
12.25,5.5,37.1,37.1
12.30,7.8,44.5,44.5
12.35,10.4,51.9,51.9
12.40,13.4,59.3,59.3
12.45,16.7,66.7,66.7
12.50,20.4,74.1,74.1
12.55,24.5,81.6,81.6
12.60,28.9,89.0,89.0
12.65,33.7,96.4,96.4
12.70,38.9,103.8,103.8
12.75,44.5,111.2,111.2
12.80,50.4,118.6,118.6
12.85,56.7,126.0,126.0
12.90,63.4,133.4,133.4
12.95,70.4,140.8,140.8
13.00,77.9,148.3,148.3
13.05,85.6,155.7,155.7
13.10,93.8,163.1,163.1
13.15,102.3,170.5,170.5
13.20,111.2,177.9,177.9
13.25,120.5,185.3,185.3
13.30,130.1,192.7,192.7
13.35,140.1,200.2,200.2
13.40,150.5,207.6,207.6
13.45,161.3,215.0,215.0
13.50,172.4,222.4,222.4
13.55,183.9,229.8,229.8
13.60,195.7,237.2,237.2
13.65,207.5,235.6,235.6
13.70,219.2,234.0,234.0
13.75,230.8,232.4,232.4
13.80,242.4,230.8,230.8
13.85,253.8,229.2,229.2
13.90,265.2,227.6,227.6
13.95,276.5,226.0,226.0
14.00,287.7,224.4,224.4
14.05,298.9,222.8,222.8
14.10,309.9,221.2,221.2
14.15,320.9,219.6,219.6
14.20,331.8,217.9,217.9
14.25,342.6,216.3,216.3
14.30,353.3,214.7,214.7
14.35,364.0,213.1,213.1
14.40,374.6,211.5,211.5
14.45,385.1,209.9,209.9
14.50,395.5,208.3,208.3
14.55,405.8,206.7,206.7
