Synthetic,"This flight is SYNTHETIC — numbers Debrief made up to demonstrate what it can read. It is not a recording of anything, nothing here was flown, and no figure from it means anything about a real rocket."
Demonstrates,"the sustainer half of the same staged launch, on a second altimeter"
Stage,"sustainer"
Columns,"The column names below are the ones an Eggtimer Classic writes, so that Debrief reads this file without being told about it. No Eggtimer recorded anything here and no device of any kind did: see the Synthetic row above."

T,Alt,VRaw,VFilt
0.00,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.10,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.20,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.30,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.40,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.50,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.60,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.70,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.80,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.90,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.00,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.10,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.20,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.30,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.40,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.50,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.60,0.0,0.0,0.0
1.65,0.0,0.0,0.0
1.70,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.80,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.90,0.0,0.0,0.0
1.95,0.0,0.0,0.0
2.00,0.0,0.0,0.0
2.05,0.0,0.0,0.0
2.10,0.0,0.0,0.0
2.15,0.0,0.0,0.0
2.20,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.30,0.0,0.0,0.0
2.35,0.0,0.0,0.0
2.40,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.50,0.0,0.0,0.0
2.55,0.0,0.0,0.0
2.60,0.0,0.0,0.0
2.65,0.0,0.0,0.0
2.70,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.80,0.0,0.0,0.0
2.85,0.0,0.0,0.0
2.90,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.00,0.0,0.0,0.0
3.05,0.0,0.0,0.0
3.10,0.0,0.0,0.0
3.15,0.0,0.0,0.0
3.20,0.0,0.0,0.0
3.25,0.0,0.0,0.0
3.30,0.0,0.0,0.0
3.35,0.0,0.0,0.0
3.40,0.0,0.0,0.0
3.45,0.0,0.0,0.0
3.50,0.0,0.0,0.0
3.55,0.4,7.4,7.4
3.60,1.1,14.8,14.8
3.65,2.2,22.2,22.2
3.70,3.7,29.7,29.7
3.75,5.5,37.1,37.1
3.80,7.8,44.5,44.5
3.85,10.4,51.9,51.9
3.90,13.4,59.3,59.3
3.95,16.7,66.7,66.7
4.00,20.4,74.1,74.1
4.05,24.5,81.6,81.6
4.10,28.9,89.0,89.0
4.15,33.7,96.4,96.4
4.20,38.9,103.8,103.8
4.25,44.5,111.2,111.2
4.30,50.4,118.6,118.6
4.35,56.7,126.0,126.0
4.40,63.4,133.4,133.4
4.45,70.4,140.8,140.8
4.50,77.9,148.3,148.3
4.55,85.6,155.7,155.7
4.60,93.8,163.1,163.1
4.65,102.3,170.5,170.5
4.70,111.2,177.9,177.9
4.75,120.5,185.3,185.3
4.80,130.1,192.7,192.7
4.85,140.1,200.2,200.2
4.90,150.5,207.6,207.6
4.95,161.3,215.0,215.0
5.00,172.4,222.4,222.4
5.05,183.9,229.8,229.8
5.10,195.7,237.2,237.2
5.15,207.5,235.6,235.6
5.20,219.2,234.0,234.0
5.25,230.8,232.4,232.4
5.30,242.4,230.8,230.8
5.35,253.8,229.2,229.2
5.40,265.2,227.6,227.6
5.45,276.5,226.0,226.0
5.50,287.7,224.4,224.4
5.55,298.9,222.8,222.8
5.60,309.9,221.2,221.2
5.65,320.9,219.6,219.6
5.70,331.8,217.9,217.9
5.75,342.6,216.3,216.3
5.80,353.3,214.7,214.7
5.85,364.0,213.1,213.1
5.90,374.6,211.5,211.5
5.95,385.1,209.9,209.9
6.00,395.5,208.3,208.3
6.05,405.8,206.7,206.7
6.10,416.1,205.1,205.1
6.15,426.2,203.4,203.4
6.20,436.3,201.8,201.8
6.25,446.3,200.2,200.2
6.30,456.3,198.6,198.6
6.35,466.1,197.0,197.0
6.40,475.9,195.4,195.4
6.45,485.6,193.8,193.8
6.50,495.2,192.2,192.2
6.55,504.7,190.6,190.6
6.60,514.2,189.0,189.0
6.65,523.5,187.4,187.4
6.70,532.8,185.8,185.8
6.75,542.0,184.2,184.2
6.80,551.1,182.5,182.5
6.85,560.2,180.9,180.9
6.90,569.2,179.3,179.3
6.95,578.1,177.7,177.7
7.00,586.9,176.1,176.1
7.05,595.6,174.5,174.5
7.10,604.2,172.9,172.9
7.15,612.8,171.3,171.3
7.20,621.3,169.7,169.7
7.25,629.7,168.1,168.1
7.30,638.0,166.4,166.4
7.35,646.3,164.8,164.8
7.40,654.4,163.2,163.2
7.45,662.5,161.6,161.6
7.50,670.5,160.0,160.0
7.55,678.4,158.4,158.4
7.60,686.3,156.8,156.8
7.65,694.0,155.2,155.2
7.70,701.7,153.6,153.6
7.75,709.3,152.0,152.0
7.80,716.8,150.4,150.4
7.85,724.2,148.8,148.8
7.90,731.6,147.1,147.1
7.95,738.9,145.5,145.5
8.00,746.1,143.9,143.9
8.05,753.2,142.3,142.3
8.10,760.2,140.7,140.7
8.15,767.2,139.1,139.1
8.20,774.0,137.5,137.5
8.25,780.8,135.9,135.9
8.30,787.6,134.3,134.3
8.35,794.2,132.7,132.7
8.40,800.8,131.1,131.1
8.45,807.2,129.5,129.5
8.50,813.6,127.9,127.9
8.55,819.9,126.2,126.2
8.60,826.1,124.6,124.6
8.65,832.3,123.0,123.0
8.70,838.4,121.4,121.4
8.75,844.4,119.8,119.8
8.80,850.3,118.2,118.2
8.85,856.1,116.6,116.6
8.90,861.9,115.0,115.0
8.95,867.5,113.4,113.4
9.00,873.1,111.7,111.7
9.05,878.6,110.1,110.1
9.10,884.1,108.5,108.5
9.15,889.4,106.9,106.9
9.20,894.7,105.3,105.3
9.25,899.8,103.7,103.7
9.30,905.0,102.1,102.1
9.35,910.0,100.5,100.5
9.40,914.9,98.9,98.9
9.45,919.8,97.3,97.3
9.50,924.6,95.7,95.7
9.55,929.3,94.1,94.1
9.60,934.6,107.2,107.2
9.65,940.6,120.3,120.3
9.70,947.3,133.4,133.4
9.75,954.7,146.6,146.6
9.80,962.6,159.7,159.7
9.85,971.3,172.8,172.8
9.90,980.6,185.9,185.9
9.95,990.5,199.0,199.0
10.00,1001.1,212.2,212.2
10.05,1012.4,225.3,225.3
10.10,1024.3,238.4,238.4
10.15,1036.9,251.5,251.5
10.20,1050.1,264.7,264.7
10.25,1064.0,277.8,277.8
10.30,1078.5,290.9,290.9
10.35,1093.8,304.0,304.0
10.40,1109.6,317.1,317.1
10.45,1126.1,330.2,330.2
10.50,1143.3,343.4,343.4
10.55,1161.1,356.5,356.5
10.60,1179.6,369.6,369.6
10.65,1198.8,382.7,382.7
10.70,1218.5,395.9,395.9
10.75,1239.0,409.0,409.0
10.80,1260.1,422.1,422.1
10.85,1281.9,435.2,435.2
10.90,1304.3,448.4,448.4
10.95,1327.3,461.5,461.5
11.00,1351.1,474.6,474.6
11.05,1375.5,487.7,487.7
11.10,1400.5,500.9,500.9
11.15,1426.2,514.0,514.0
11.20,1452.6,527.1,527.1
11.25,1479.6,540.2,540.2
11.30,1507.2,553.3,553.3
11.35,1535.6,566.5,566.5
11.40,1564.5,579.6,579.6
11.45,1594.2,592.7,592.7
11.50,1624.5,605.8,605.8
11.55,1655.4,619.0,619.0
11.60,1687.0,632.1,632.1
11.65,1719.3,645.2,645.2
11.70,1752.2,658.3,658.3
11.75,1785.8,671.5,671.5
11.80,1820.0,684.5,684.5
11.85,1854.9,697.7,697.7
11.90,1890.4,710.8,710.8
11.95,1926.6,723.9,723.9
12.00,1963.5,737.0,737.0
12.05,2001.0,750.2,750.2
12.10,2038.4,748.6,748.6
12.15,2075.8,746.9,746.9
12.20,2113.0,745.3,745.3
12.25,2150.2,743.7,743.7
12.30,2187.3,742.1,742.1
12.35,2224.3,740.5,740.5
12.40,2261.3,738.9,738.9
12.45,2298.1,737.3,737.3
12.50,2334.9,735.7,735.7
12.55,2371.6,734.1,734.1
12.60,2408.3,732.5,732.5
12.65,2444.8,730.9,730.9
12.70,2481.3,729.3,729.3
12.75,2517.7,727.7,727.7
12.80,2553.9,726.0,726.0
12.85,2590.2,724.4,724.4
12.90,2626.3,722.8,722.8
12.95,2662.4,721.2,721.2
13.00,2698.4,719.6,719.6
13.05,2734.3,718.0,718.0
13.10,2770.1,716.4,716.4
13.15,2805.8,714.8,714.8
13.20,2841.5,713.2,713.2
13.25,2877.0,711.6,711.6
13.30,2912.5,709.9,709.9
13.35,2948.0,708.3,708.3
13.40,2983.3,706.7,706.7
13.45,3018.6,705.1,705.1
13.50,3053.7,703.5,703.5
13.55,3088.8,701.9,701.9
13.60,3123.9,700.3,700.3
13.65,3158.8,698.7,698.7
13.70,3193.6,697.1,697.1
13.75,3228.4,695.5,695.5
13.80,3263.1,693.9,693.9
13.85,3297.7,692.3,692.3
13.90,3332.3,690.6,690.6
13.95,3366.7,689.0,689.0
14.00,3401.1,687.4,687.4
14.05,3435.4,685.8,685.8
14.10,3469.6,684.2,684.2
14.15,3503.7,682.6,682.6
14.20,3537.8,681.0,681.0
14.25,3571.7,679.4,679.4
